 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot       VmagSn      VmagOb
 2025-Dec-18 07:03     10 50 31.74 +06 43 21.9  1.79792401424033  -1.6782103   64.3936242  66.2086376
 2025-Dec-18 07:04     10 50 31.55 +06 43 22.9  1.79792334162145  -1.6761784   64.3935706  66.2100522
 2025-Dec-18 07:05     10 50 31.35 +06 43 23.8  1.79792266981849  -1.6741412   64.3935169  66.2114622
 2025-Dec-18 07:06     10 50 31.16 +06 43 24.8  1.79792199883361  -1.6720987   64.3934632  66.2128676
 2025-Dec-18 07:07     10 50 30.97 +06 43 25.8  1.79792132866894  -1.6700508   64.3934095  66.2142683
 2025-Dec-18 07:08     10 50 30.77 +06 43 26.8  1.79792065932661  -1.6679976   64.3933558  66.2156645
 2025-Dec-18 07:09     10 50 30.58 +06 43 27.8  1.79791999080873  -1.6659392   64.3933021  66.2170559
 2025-Dec-18 07:10     10 50 30.39 +06 43 28.8  1.79791932311743  -1.6638755   64.3932485  66.2184427
 2025-Dec-18 07:11     10 50 30.19 +06 43 29.7  1.79791865625480  -1.6618065   64.3931948  66.2198247
 2025-Dec-18 07:12     10 50 30.00 +06 43 30.7  1.79791799022295  -1.6597324   64.3931411  66.2212020
 2025-Dec-18 07:13     10 50 29.81 +06 43 31.7  1.79791732502397  -1.6576530   64.3930874  66.2225746
 2025-Dec-18 07:14     10 50 29.61 +06 43 32.7  1.79791666065992  -1.6555685   64.3930337  66.2239424
 2025-Dec-18 07:15     10 50 29.42 +06 43 33.7  1.79791599713289  -1.6534788   64.3929801  66.2253054
 2025-Dec-18 07:16     10 50 29.23 +06 43 34.7  1.79791533444493  -1.6513840   64.3929264  66.2266636
 2025-Dec-18 07:17     10 50 29.03 +06 43 35.7  1.79791467259810  -1.6492841   64.3928727  66.2280170
 2025-Dec-18 07:18     10 50 28.84 +06 43 36.6  1.79791401159445  -1.6471790   64.3928190  66.2293656
 2025-Dec-18 07:19     10 50 28.64 +06 43 37.6  1.79791335143601  -1.6450689   64.3927654  66.2307092
 2025-Dec-18 07:20     10 50 28.45 +06 43 38.6  1.79791269212482  -1.6429538   64.3927117  66.2320480
 2025-Dec-18 07:21     10 50 28.26 +06 43 39.6  1.79791203366289  -1.6408336   64.3926580  66.2333819
 2025-Dec-18 07:22     10 50 28.06 +06 43 40.6  1.79791137605224  -1.6387084   64.3926043  66.2347109
 2025-Dec-18 07:23     10 50 27.87 +06 43 41.6  1.79791071929486  -1.6365783   64.3925507  66.2360349
 2025-Dec-18 07:24     10 50 27.68 +06 43 42.6  1.79791006339276  -1.6344432   64.3924970  66.2373539
 2025-Dec-18 07:25     10 50 27.48 +06 43 43.5  1.79790940834792  -1.6323031   64.3924433  66.2386680
 2025-Dec-18 07:26     10 50 27.29 +06 43 44.5  1.79790875416232  -1.6301581   64.3923896  66.2399771
 2025-Dec-18 07:27     10 50 27.10 +06 43 45.5  1.79790810083791  -1.6280082   64.3923360  66.2412811
 2025-Dec-18 07:28     10 50 26.90 +06 43 46.5  1.79790744837668  -1.6258535   64.3922823  66.2425801
 2025-Dec-18 07:29     10 50 26.71 +06 43 47.5  1.79790679678056  -1.6236939   64.3922286  66.2438741
 2025-Dec-18 07:30     10 50 26.52 +06 43 48.5  1.79790614605149  -1.6215294   64.3921750  66.2451630
 2025-Dec-18 07:31     10 50 26.32 +06 43 49.5  1.79790549619141  -1.6193602   64.3921213  66.2464468
 2025-Dec-18 07:32     10 50 26.13 +06 43 50.4  1.79790484720224  -1.6171861   64.3920676  66.2477255
 2025-Dec-18 07:33     10 50 25.93 +06 43 51.4  1.79790419908590  -1.6150074   64.3920140  66.2489991
 2025-Dec-18 07:34     10 50 25.74 +06 43 52.4  1.79790355184429  -1.6128238   64.3919603  66.2502675
 2025-Dec-18 07:35     10 50 25.55 +06 43 53.4  1.79790290547931  -1.6106356   64.3919066  66.2515308
 2025-Dec-18 07:36     10 50 25.35 +06 43 54.4  1.79790225999284  -1.6084426   64.3918530  66.2527888
 2025-Dec-18 07:37     10 50 25.16 +06 43 55.4  1.79790161538677  -1.6062450   64.3917993  66.2540417
 2025-Dec-18 07:38     10 50 24.97 +06 43 56.3  1.79790097166295  -1.6040427   64.3917456  66.2552894
 2025-Dec-18 07:39     10 50 24.77 +06 43 57.3  1.79790032882326  -1.6018359   64.3916920  66.2565318
 2025-Dec-18 07:40     10 50 24.58 +06 43 58.3  1.79789968686954  -1.5996244   64.3916383  66.2577690
 2025-Dec-18 07:41     10 50 24.39 +06 43 59.3  1.79789904580363  -1.5974083   64.3915847  66.2590009
